"Financial Examiners","Pension Examiner"
"Credit Counselors","Credit Counselor"
"Credit Counselors","Debt Management Counselor"
"Credit Counselors","Student Financial Aid Counselor"
"Credit Counselors","Student Loan Counselor"
"Loan Officers","Branch Lending Officer"
"Loan Officers","Commercial Lender"
"Loan Officers","Loan Analyst"
"Loan Officers","Loan Officer"
"Loan Officers","Loan Reviewer"
"Loan Officers","Payday Loan Officer"
"Loan Officers","Real Estate Loan Officer"
"Tax Examiners and Collectors, and Revenue Agents","City Collector"
"Tax Examiners and Collectors, and Revenue Agents","Customs Appraiser"
"Tax Examiners and Collectors, and Revenue Agents","Income Tax Adjuster"
"Tax Examiners and Collectors, and Revenue Agents","Internal Revenue Agent"
"Tax Examiners and Collectors, and Revenue Agents","Internal Revenue Service Agent"
"Tax Examiners and Collectors, and Revenue Agents","Revenue Collector"
"Tax Examiners and Collectors, and Revenue Agents","Revenue Enforcement Agent"
"Tax Examiners and Collectors, and Revenue Agents","Tax Compliance Officer"
"Tax Examiners and Collectors, and Revenue Agents","Tax Compliance Representative"
"Tax Examiners and Collectors, and Revenue Agents","Tax Examiner"
"Tax Examiners and Collectors, and Revenue Agents","Tax Investigator"
"Tax Examiners and Collectors, and Revenue Agents","Tax Revenue Officer"
"Tax Preparers","Corporate Tax Preparer"
"Tax Preparers","Income Tax Advisor"
"Tax Preparers","Income Tax Preparer"
"Tax Preparers","Licensed Tax Consultant"
"Tax Preparers","Tax Consultant"
"Tax Preparers","Tax Specialist"
"Financial Specialists, All Other","Bail Bondsman"
"Financial Specialists, All Other","Bondsman"
"Financial Specialists, All Other","Executor of Estate"
"Computer Systems Analysts","Applications Analyst"
"Computer Systems Analysts","Computer Systems Consultant"
"Computer Systems Analysts","Data Processing Systems Analyst"
"Computer Systems Analysts","Information Systems Analyst"
"Computer Systems Analysts","Information Systems Planner"
"Computer Systems Analysts","Programmer Analyst"
"Computer Systems Analysts","Systems Architect"
"Information Security Analysts","Computer Security Specialist"
"Information Security Analysts","Computer Systems Security Analyst"
"Information Security Analysts","Information Security Analyst"
"Information Security Analysts","Information Systems Security Analyst"
"Information Security Analysts","IT Risk Specialist"
"Information Security Analysts","Network Security Analyst"
"Computer and Information Research Scientists","Computational Theory Scientist"
"Computer and Information Research Scientists","Computer Scientist"
"Computer and Information Research Scientists","Control System Computer Scientist"
"Computer and Information Research Scientists","Programming Methodology and Languages Researcher"
"Computer Network Support Specialists","Network Diagnostic Support Specialist"
"Computer Network Support Specialists","Network Support Technician"
"Computer Network Support Specialists","Network Technician"
"Computer User Support Specialists","Computer Customer Support Specialist"
"Computer User Support Specialists","Computer Help Desk Representative"
"Computer User Support Specialists","Computer Help Desk Specialist"
"Computer User Support Specialists","End-User Support Specialist"
"Computer User Support Specialists","Help Desk Analyst"
"Computer User Support Specialists","Help Desk Technician"
"Computer User Support Specialists","IT Support Specialist"
"Computer User Support Specialists","PC Support Specialist"
"Computer Network Architects","Computer Network Engineer"
"Computer Network Architects","Network Designer"
"Computer Network Architects","Network Developer"
"Computer Network Architects","Network Engineer"
"Database Administrators","Automatic Data Processing Planner"
"Database Administrators","Database Administration Manager"
"Database Administrators","Database Coordinator"
"Database Administrators","Database Programmer"
"Database Administrators","Database Security Administrator"
"Database Architects","Data Architect"
"Database Architects","Data Integration Specialist"
"Database Architects","Data Warehousing Specialist"
"Database Architects","Database Developer"
"Network and Computer Systems Administrators","LAN Administrator"
"Network and Computer Systems Administrators","LAN Systems Administrator"
"Network and Computer Systems Administrators","Local Area Network Administrator"
"Network and Computer Systems Administrators","Network Analyst"
"Network and Computer Systems Administrators","Network Coordinator"
"Network and Computer Systems Administrators","Network Support Coordinator"
"Network and Computer Systems Administrators","Network Support Manager"
"Network and Computer Systems Administrators","Network Systems Administrator"
"Network and Computer Systems Administrators","Network Systems Coordinator"
"Network and Computer Systems Administrators","WAN Systems Administrator"
"Network and Computer Systems Administrators","Wide Area Network Administrator"
"Computer Programmers","Applications Programmer"
"Computer Programmers","Computer Language Coder"
"Computer Programmers","Computer Programmer"
"Computer Programmers","IT Programmer"
"Computer Programmers","Junior Software Developer"
"Computer Programmers","Mainframe Programmer"
"Computer Programmers","Systems Programmer"
"Software Developers","Application Integration Engineer"
"Software Developers","Applications Developer"
"Software Developers","Computer Applications Developer"
"Software Developers","Computer Applications Engineer"
"Software Developers","Computer Systems Engineer"
"Software Developers","Computer Systems Software Architect"
"Software Developers","Computer Systems Software Engineer"
"Software Developers","Embedded Systems Software Developer"
"Software Developers","Enterprise Systems Engineer"
"Software Developers","Mobile Applications Developer"
"Software Developers","Software Applications Architect"
"Software Developers","Software Applications Designer"
"Software Developers","Software Applications Engineer"
"Software Developers","Software Engineer"
"Software Developers","Software Systems Engineer"
"Software Developers","Systems Software Designer"
"Software Developers","Systems Software Developer"
"Software Developers","Systems Software Specialist"
"Software Quality Assurance Analysts and Testers","Applications Tester"
"Software Quality Assurance Analysts and Testers","Software Quality Assurance Technician"
"Software Quality Assurance Analysts and Testers","Software Quality Control Specialist"
"Software Quality Assurance Analysts and Testers","Software Quality Engineer"
"Software Quality Assurance Analysts and Testers","Software Test Engineer"
"Web Developers","Intranet Developer"
